KO	Function Category Level 4	Gene Count
K13924	cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	0
K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]	0
K03410	cheC; chemotaxis protein CheC	0
K03413	cheY; two-component system, chemotaxis family, response regulator CheY	3
K03412	cheB; two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]	5
K03415	cheV; two-component system, chemotaxis family, response regulator CheV	0
K03414	cheZ; chemotaxis protein CheZ	0
K10540	mglB; methyl-galactoside transport system substrate-binding protein	0
K02557	motB; chemotaxis protein MotB	4
K02556	motA; chemotaxis protein MotA	4
K12368	dppA; dipeptide transport system substrate-binding protein	0
K02410	fliG; flagellar motor switch protein FliG	6
K02416	fliM; flagellar motor switch protein FliM	0
K02417	fliNY, fliN; flagellar motor switch protein FliN/FliY	3
K10108	malE; maltose/maltodextrin transport system substrate-binding protein	0
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	0
K05875	tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor	0
K05874	tsr; methyl-accepting chemotaxis protein I, serine sensor receptor	0
K05877	tap; methyl-accepting chemotaxis protein IV, peptide sensor receptor	0
K05876	trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	0
K10439	rbsB; ribose transport system substrate-binding protein	0
K03406	mcp; methyl-accepting chemotaxis protein	1
K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	0
K03408	cheW; purine-binding chemotaxis protein CheW	0
K03409	cheX; chemotaxis protein CheX	0
K02409	fliF; flagellar M-ring protein FliF	0
K02408	fliE; flagellar hook-basal body complex protein FliE	0
K02399	flgN; flagella synthesis protein FlgN	0
K02398	flgM; negative regulator of flagellin synthesis FlgM	0
K02401	flhB; flagellar biosynthetic protein FlhB	0
K02400	flhA; flagellar biosynthesis protein FlhA	0
K02403	flhD; flagellar transcriptional activator FlhD	0
K02402	flhC; flagellar transcriptional activator FlhC	0
K02391	flgF; flagellar basal-body rod protein FlgF	0
K02390	flgE; flagellar hook protein FlgE	5
K02393	flgH; flagellar L-ring protein precursor FlgH	0
K02392	flgG; flagellar basal-body rod protein FlgG	5
K13820	fliR-flhB; flagellar biosynthetic protein FliR/FlhB	0
K02386	flgA; flagella basal body P-ring formation protein FlgA	0
K02396	flgK; flagellar hook-associated protein 1 FlgK	5
K10565	motD; chemotaxis protein MotD	0
K02557	motB; chemotaxis protein MotB	4
K02556	motA; chemotaxis protein MotA	4
K04562	flhG, fleN; flagellar biosynthesis protein FlhG	0
K10564	motC; chemotaxis protein MotC	0
K02397	flgL; flagellar hook-associated protein 3 FlgL	0
K02418	fliOZ, fliO; flagellar protein FliO/FliZ	0
K02419	fliP; flagellar biosynthetic protein FliP	0
K02388	flgC; flagellar basal-body rod protein FlgC	0
K02389	flgD; flagellar basal-body rod modification protein FlgD	0
K02412	fliI; flagellum-specific ATP synthase [EC:3.6.3.14]	4
K02413	fliJ; flagellar FliJ protein	0
K02410	fliG; flagellar motor switch protein FliG	6
K02411	fliH; flagellar assembly protein FliH	0
K02416	fliM; flagellar motor switch protein FliM	0
K02417	fliNY, fliN; flagellar motor switch protein FliN/FliY	3
K02414	fliK; flagellar hook-length control protein FliK	0
K02387	flgB; flagellar basal-body rod protein FlgB	0
K02407	fliD; flagellar hook-associated protein 2	2
K02406	fliC; flagellin	7
K06604	flaI; flagellar rod protein FlaI	0
K02394	flgI; flagellar P-ring protein precursor FlgI	3
K02423	fliT; flagellar protein FliT	0
K02422	fliS; flagellar protein FliS	0
K02421	fliR; flagellar biosynthetic protein FliR	0
K02420	fliQ; flagellar biosynthetic protein FliQ	0
K02159	BAX; apoptosis regulator BAX, membrane protein (BCL2-associated)	0
K10139	SERPINB5; serpin B5	0
K10151	CCND2; cyclin D2	0
K10152	CCND3; cyclin D3	0
K01110	E3.1.3.67, PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67]	0
K04390	TNFRSF6, FAS; tumor necrosis factor receptor superfamily member 6	0
K10141	SESN; sestrin	0
K10136	PERP; TP53 apoptosis effector	0
K10137	ZMAT3; zinc finger, matrin type 3	0
K13773	TP53AIP1; p53-regulated apoptosis-inducing protein 1	0
K10135	SCOTIN; scotin	0
K10131	PMAIP1; phorbol-12-myristate-13-acetate-induced protein 1	0
K10133	TP53I3; tumor protein p53-inducible protein 3 [EC:1.-.-.-]	0
K02216	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	0
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0
K07207	TSC2; tuberous sclerosis 2	0
K04399	CASP9; caspase 9 [EC:3.4.22.62]	0
K04398	CASP8; caspase 8 [EC:3.4.22.61]	0
K10808	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]	0
K05868	CCNB; cyclin B	0
K10129	GTSE1, B99; G-2 and S-phase expressed protein 1	0
K08738	CYC; cytochrome c	5
K10146	CCNG2; cyclin G2	0
K10138	IGFBP3; insulin-like growth factor-binding protein 3	0
K02187	CASP3; caspase 3 [EC:3.4.22.56]	0
K04506	SIAH1; E3 ubiquitin-protein ligase SIAH1 [EC:6.3.2.19]	0
K10142	STEAP3, TSAP6; metalloreductase STEAP3 [EC:1.16.1.-]	0
K04728	ATM, TEL1; ataxia telangectasia mutated family protein [EC:2.7.11.1]	0
K10140	DDB2; DNA damage-binding protein 2	0
K10147	PPM1D, WIP1; protein phosphatase 1D (formerly 2C) [EC:3.1.3.16]	0
K04503	CCND1; cyclin D1	0
K10145	CCNG1; cyclin G1	0
K10144	RCHY1, PIRH2; ring finger and CHY zinc finger domain-containing protein 1	0
K10148	TP73; tumor protein p73	0
K04726	BID; BH3 interacting domain death agonist	0
K04402	GADD45; growth arrest and DNA-damage-inducible protein	0
K03982	SERPINE1, PAI1; plasminogen activator inhibitor-1	0
K02084	APAF1; apoptotic protease-activating factor	0
K02087	CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22]	0
K02206	CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22]	0
K02089	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0
K10128	RPRM; reprimo, TP53-dependent G2 arrest mediator candidate	0
K10143	RFWD2, COP1; E3 ubiquitin-protein ligase RFWD2 [EC:6.3.2.19]	0
K04596	BAI1; brain-specific angiogenesis inhibitor 1	0
K06509	KAI1, CD82; kangai 1	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K06641	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	0
K06640	ATR; ataxia telangiectasia and Rad3 related [EC:2.7.11.1]	0
K10127	MDM4, MDMX; transformed 3T3 cell double minute 4, p53-binding protein	0
K06644	SFN; stratifin	0
K04451	TP53, P53; tumor protein p53	0
K10130	LRDD, PIDD; leucine-rich repeats and death domain-containing protein	0
K06625	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	0
K10132	BBC3, PUMA; BCL2-binding component 3	0
K06626	CCNE; cyclin E	0
K06621	CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A	0
K05459	IGF1; insulin-like growth factor 1	0
K10134	EI24; etoposide-induced 2.4 mRNA	0
K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	0
K02183	CALM; calmodulin	0
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	0
K08694	SPDY, RINGO; speedy	0
K02365	ESP1; separase [EC:3.4.22.49]	0
K04348	PPP3C, CNA; protein phosphatase 3, catalytic subunit [EC:3.1.3.16]	0
K11580	SGOL1; shugoshin-like 1	0
K10318	FBXO43, EMI2; F-box protein 43	0
K08836	SLK; STE20-like kinase [EC:2.7.11.1]	0
K12456	APC13; anaphase-promoting complex subunit 13	0
K05861	PLCZ; phospholipase C, zeta	0
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	0
K03363	CDC20; cell division cycle 20, cofactor of APC complex	0
K08043	ADCY3; adenylate cyclase 3 [EC:4.6.1.1]	0
K08042	ADCY2; adenylate cyclase 2 [EC:4.6.1.1]	0
K08041	ADCY1; adenylate cyclase 1 [EC:4.6.1.1]	0
K06636	SMC1; structural maintenance of chromosome 1	0
K08047	ADCY7; adenylate cyclase 7 [EC:4.6.1.1]	0
K08046	ADCY6; adenylate cyclase 6 [EC:4.6.1.1]	0
K08045	ADCY5; adenylate cyclase 5 [EC:4.6.1.1]	0
K08044	ADCY4; adenylate cyclase 4 [EC:4.6.1.1]	0
K04382	PPP2C; protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16]	0
K05867	CDC25C; cell division cycle 25C [EC:3.1.3.48]	0
K08049	ADCY9; adenylate cyclase 9 [EC:4.6.1.1]	0
K08048	ADCY8; adenylate cyclase 8 [EC:4.6.1.1]	0
K11584	PPP2R5; protein phosphatase 2 (formerly 2A), regulatory subunit B'	0
K03352	APC5; anaphase-promoting complex subunit 5	0
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	0
K03350	APC3, CDC27; anaphase-promoting complex subunit 3	0
K03351	APC4; anaphase-promoting complex subunit 4	0
K03356	APC9; anaphase-promoting complex subunit 9	0
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	0
K03354	APC7; anaphase-promoting complex subunit 7	0
K03355	APC8, CDC23; anaphase-promoting complex subunit 8	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K02602	ORB; oo18 RNA-binding protein	0
K04373	RPS6KA, RSK2; p90 ribosomal S6 kinase [EC:2.7.11.1]	0
K03359	APC12, CDC26; anaphase-promoting complex subunit 12	0
K06269	PPP1C; protein phosphatase 1, catalytic subunit [EC:3.1.3.16]	0
K06633	PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]	0
K06630	YWHA; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	0
K06631	PLK1; polo-like kinase 1 [EC:2.7.11.21]	0
K11481	AURKA; aurora kinase A [EC:2.7.11.1]	0
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	0
K04526	INS; insulin	0
K13056	C3H-4; CCCH zinc finger protein C3H-4	0
K03094	SKP1, CBF3D; S-phase kinase-associated protein 1	0
K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	0
K03348	APC1; anaphase-promoting complex subunit 1	0
K10292	FBXO5, EMI1; F-box protein 5	0
K02087	CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22]	0
K08557	NR3C4, AR; androgen receptor	0
K03868	RBX1, ROC1; RING-box protein 1	0
K02206	CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22]	0
K03358	APC11; anaphase-promoting complex subunit 11	0
K04960	ITPR3; inositol 1,4,5-triphosphate receptor type 3	0
K04345	PKA; protein kinase A [EC:2.7.11.11]	0
K06635	PTTG; pituitary tumor-transforming	0
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1	0
K13728	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	0
K13054	REC8L; meiotic recombination protein REC8, animal type	0
K13055	STAG3; cohesin complex subunit SA-3	0
K05459	IGF1; insulin-like growth factor 1	0
K08556	NR3C3, PGR; progesterone receptor	0
K04959	ITPR2; inositol 1,4,5-triphosphate receptor type 2	0
K04958	ITPR1; inositol 1,4,5-triphosphate receptor type 1	0
K06268	PPP3R, CNB; protein phosphatase 3, regulatory subunit	0
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K03347	CUL1, CDC53; cullin 1	0
K03349	APC2; anaphase-promoting complex subunit 2	0
K03362	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11	0
K06626	CCNE; cyclin E	0
K04367	MOS; proto-oncogene serine/threonine-protein kinase mos [EC:2.7.11.1]	0
K06683	CDC15; cell division control protein CDC15 [EC:2.7.11.1]	0
K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	5
K04563	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]	0
K11582	SGO1; shugoshin	0
K11584	PPP2R5; protein phosphatase 2 (formerly 2A), regulatory subunit B'	0
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	0
K12781	MND2; anaphase-promoting complex subunit MND2	0
K06636	SMC1; structural maintenance of chromosome 1	0
K04345	PKA; protein kinase A [EC:2.7.11.11]	0
K02212	MCM4, CDC54; minichromosome maintenance protein 4 (cell division control protein 54)	0
K02830	HRAD1, RAD17; cell cycle checkpoint protein [EC:3.1.11.2]	0
K02831	RAD53; ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]	0
K12779	SUM1; suppressor of MAR1-1 protein	0
K02541	MCM3; minichromosome maintenance protein 3	0
K09235	RME1; zinc finger protein RME1	0
K12414	TAH11; DNA replication licensing factor, required for pre-replication complex assembly	0
K10872	DMC1; meiotic recombination protein DMC1	5
K10878	SPO11; meiotic recombination protein SPO11	0
K09468	MSN2_4; zinc finger protein MSN2/4	0
K09358	MATA1; mating-type protein A1	0
K09359	MATA2; mating-type protein A2	0
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1	0
K06269	PPP1C; protein phosphatase 1, catalytic subunit [EC:3.1.3.16]	0
K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	0
K03114	SWE1; mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]	0
K12575	SLK19; kinetochore protein SLK19	0
K06661	RAD9; DNA repair protein RAD9	0
K06660	CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]	0
K06663	DDC1; DNA damage checkpoint protein	0
K06662	HRAD17, RAD24; cell cycle checkpoint protein	0
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	0
K02210	MCM7, CDC47; minichromosome maintenance protein 7 (cell division control protein 47)	0
K12778	HOP1; meiosis-specific protein HOP1	0
K02213	CDC6; cell division control protein 6	0
K02214	CDC7; cell division control protein 7 [EC:2.7.11.1]	0
K02216	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	0
K12772	SPS4; sporulation-specific protein 4	0
K12773	SPR3; sporulation-regulated protein 3	0
K12770	GIP1; GLC7-interacting protein 1	0
K12771	SPS1; sporulation-specific protein 1 [EC:2.7.11.1]	0
K12776	MEK1; meiosis-specific serine/threonine-protein kinase MEK1 [EC:2.7.11.1]	0
K12777	RED1; protein RED1	0
K12774	MAM1; monopolin complex subunit MAM1	0
K12775	LRS4; monopolin complex subunit LRS4	0
K06659	CLB3_4; G2/mitotic-specific cyclin 3/4	0
K06650	CLN2; G1/S-specific cyclin CLN2	0
K06651	CLB5_6; S-phase entry cyclin 5/6	0
K03352	APC5; anaphase-promoting complex subunit 5	0
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	0
K03350	APC3, CDC27; anaphase-promoting complex subunit 3	0
K03351	APC4; anaphase-promoting complex subunit 4	0
K03356	APC9; anaphase-promoting complex subunit 9	0
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	0
K02627	PDS1; cell cycle regulator	0
K03355	APC8, CDC23; anaphase-promoting complex subunit 8	0
K12783	SSP1; sporulation-specific protein 1	0
K03358	APC11; anaphase-promoting complex subunit 11	0
K03359	APC12, CDC26; anaphase-promoting complex subunit 12	0
K12782	AMA1; meiosis-specific APC/C activator protein AMA1	0
K02365	ESP1; separase [EC:3.4.22.49]	0
K03354	APC7; anaphase-promoting complex subunit 7	0
K12780	REC8; meiotic recombination protein REC8, fungi type	0
K12769	NDT80; meiosis-specific transcription factor NDT80	0
K12768	ZIP1; synaptonemal complex protein ZIP1	0
K02209	MCM5, CDC46; minichromosome maintenance protein 5 (cell division control protein 46)	0
K12761	SNF1; carbon catabolite-derepressing protein kinase [EC:2.7.11.1]	0
K12763	SOK2; protein SOK2	0
K12762	K12762, GPR1; G protein-coupled receptor GPR1	0
K12765	IME2; meiosis induction protein kinase IME2/SME1 [EC:2.7.11.1]	0
K12764	IME1; meiosis-inducing protein 1	0
K12767	RIM15; serine/threonine-protein kinase RIM15 [EC:2.7.11.1]	0
K12766	MDS1, RIM11; serine/threonine-protein kinase MDS1/RIM11 [EC:2.7.11.1]	0
K06649	SWI4; regulatory protein SWI4	0
K06648	SWI6; regulatory protein SWI6	0
K09243	UME6; transcriptional regulatory protein UME6	0
K04382	PPP2C; protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16]	0
K06646	CLN3; G1/S-specific cyclin CLN3	0
K08139	HXT; MFS transporter, SP family, sugar:H+ symporter	0
K03349	APC2; anaphase-promoting complex subunit 2	0
K03348	APC1; anaphase-promoting complex subunit 1	0
K12576	SPO12; sporulation-specific protein 12	0
K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28	0
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	0
K12416	SWM1, APC13; anaphase-promoting complex subunit SWM1	0
K02608	ORC6; origin recognition complex subunit 6	0
K06639	CDC14; cell division cycle 14 [EC:3.1.3.48]	0
K02603	ORC1; origin recognition complex subunit 1	0
K02607	ORC5; origin recognition complex subunit 5	0
K02606	ORC4; origin recognition complex subunit 4	0
K02605	ORC3; origin recognition complex subunit 3	0
K02604	ORC2; origin recognition complex subunit 2	0
K06671	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	0
K02309	DBF4; regulatory subunit for Cdc7p protein kinase	0
K02544	MEC3; G2-specific checkpoint protein	0
K02540	MCM2; minichromosome maintenance protein 2	0
K06628	CDC45; cell division control protein 45	0
K02542	MCM6; minichromosome maintenance protein 6	0
K02543	MEC1; cell cycle checkpoint protein MEC1	0
K03363	CDC20; cell division cycle 20, cofactor of APC complex	0
K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]	11
K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	0
K03589	ftsQ; cell division protein FtsQ	0
K03588	ftsW, spoVE; cell division protein FtsW	0
K13591	popA; two-component system, cell cycle response regulator PopA	0
K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]	22
K13593	tipF; cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF	0
K13592	rcdA; regulator of CtrA degradation	0
K02313	dnaA; chromosomal replication initiator protein	7
K07716	pleC; two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]	1
K03531	ftsZ; cell division protein FtsZ	4
K02651	flp, pilA; pilus assembly protein Flp/PilA	0
K01338	E3.4.21.53, lon; ATP-dependent Lon protease [EC:3.4.21.53]	22
K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	3
K03590	ftsA; cell division protein FtsA	4
K11443	divK; two-component system, cell cycle response regulator DivK	0
K13582	podJ; localization factor PodJL	0
K13583	gcrA; GcrA cell cycle regulator	0
K13581	ccrM; modification methylase [EC:2.1.1.72]	0
K13586	hfaB; holdfast attachment protein HfaB	0
K13587	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	10
K13584	ctrA; two-component system, cell cycle response regulator CtrA	0
K13585	hfaA; holdfast attachment protein HfaA	0
K13588	chpT; histidine phosphotransferase ChpT	0
K13589	cpdR; two-component system, cell cycle response regulator CpdR	0
K11357	divJ; two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]	0
K13590	dgcB; diguanylate cyclase	0
K02488	pleD; two-component system, cell cycle response regulator	0
K03544	clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX	5
K13245	pdeA; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	0
K06985	K06985; aspartyl protease family protein	0
K06687	NET1, ESC5; nucleolar protein involved in exit from mitosis	0
K06686	DBF20; cell cycle protein kinase DBF20 [EC:2.7.11.-]	0
K06685	MOB1; maintenance of ploidy protein MOB1 (MPS1 binder 1)	0
K06684	DBF2; cell cycle protein kinase DBF2 [EC:2.7.11.-]	0
K06683	CDC15; cell division control protein CDC15 [EC:2.7.11.1]	0
K06682	TEM1; Gtp-binding protein of the ras superfamily involved in termination of M-phase	0
K06681	LTE1; Gdp/GTP exchange factor required for growth at low temperatures	0
K06680	MAD3; spindle assembly checkpoint component MAD3	0
K09175	RFXX; regulatory factor X, other	0
K02555	MIH1; M-phase inducer tyrosine phosphatase [EC:3.1.3.48]	0
K04563	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]	0
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	0
K06636	SMC1; structural maintenance of chromosome 1	0
K09202	SWI5; regulatory protein SWI5	0
K02830	HRAD1, RAD17; cell cycle checkpoint protein [EC:3.1.11.2]	0
K02831	RAD53; ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]	0
K02541	MCM3; minichromosome maintenance protein 3	0
K06641	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	0
K12413	WHI5; G1-specific transcriptional repressor WHI5	0
K12412	MCM1; minichromosome maintenance protein 1	0
K12416	SWM1, APC13; anaphase-promoting complex subunit SWM1	0
K12414	TAH11; DNA replication licensing factor, required for pre-replication complex assembly	0
K06672	SCC2, NIPBL; cohesin loading factor subunit SCC2	0
K06673	SCC4; cohesin loading factor subunit SCC4	0
K06670	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	0
K06671	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	0
K06676	BRRN1, BRN1, CAPH; condensin complex subunit 2	0
K06677	YCS4, CNAP1, CAPD2; condensin complex subunit 1	0
K06674	SMC2; structural maintenance of chromosome 2	0
K04354	PPP2R2; protein phosphatase 2 (formerly 2A), regulatory subunit B	0
K06678	YCG1, CAPG; condensin complex subunit 3	0
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1	0
K02646	PHO2; regulatory protein PHO2	0
K02516	PRMT5, HSL7; protein arginine N-methyltransferase 5 [EC:2.1.1.125]	0
K02515	HSL1; serine/threonine-protein kinase HSL1,negative regulator of Swe1 kinase [EC:2.7.11.-]	0
K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	0
K03114	SWE1; mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]	0
K02220	CLB1_2; G2/mitotic-specific cyclin 1/2	0
K03348	APC1; anaphase-promoting complex subunit 1	0
K11272	MRC1; mediator of replication checkpoint protein 1	0
K03868	RBX1, ROC1; RING-box protein 1	0
K06661	RAD9; DNA repair protein RAD9	0
K06660	CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]	0
K06663	DDC1; DNA damage checkpoint protein	0
K06662	HRAD17, RAD24; cell cycle checkpoint protein	0
K06665	SSN6; glucose repression mediator protein	0
K06667	CAK1; serine/threonine-protein kinase CAK1 [EC:2.7.11.22]	0
K06666	TUP1; glucose repression regulatory protein TUP1	0
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	0
K06668	GIN4; serine/threonine-protein kinase GIN4 [EC:2.7.11.-]	0
K02210	MCM7, CDC47; minichromosome maintenance protein 7 (cell division control protein 47)	0
K02212	MCM4, CDC54; minichromosome maintenance protein 4 (cell division control protein 54)	0
K02213	CDC6; cell division control protein 6	0
K02214	CDC7; cell division control protein 7 [EC:2.7.11.1]	0
K02216	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	0
K02219	CKS1; cyclin-dependent kinase regulatory subunit CKS1	0
K06658	PHO4; phosphate system positive regulatory protein PHO4	0
K06659	CLB3_4; G2/mitotic-specific cyclin 3/4	0
K06654	PHO80; phosphate system cyclin PHO80	0
K06655	PHO85; negative regulator of the PHO system [EC:2.7.11.22]	0
K06656	PCL1; G1/S-specific cyclin PLC1	0
K06657	PCL2; G1/S-specific cyclin PLC2	0
K06650	CLN2; G1/S-specific cyclin CLN2	0
K06651	CLB5_6; S-phase entry cyclin 5/6	0
K06652	FAR1; cyclin-dependent kinase inhibitor FAR1	0
K06653	PHO81; CDK inhibitor PHO81	0
K03352	APC5; anaphase-promoting complex subunit 5	0
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	0
K03350	APC3, CDC27; anaphase-promoting complex subunit 3	0
K03351	APC4; anaphase-promoting complex subunit 4	0
K03356	APC9; anaphase-promoting complex subunit 9	0
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	0
K02627	PDS1; cell cycle regulator	0
K03355	APC8, CDC23; anaphase-promoting complex subunit 8	0
K03358	APC11; anaphase-promoting complex subunit 11	0
K03359	APC12, CDC26; anaphase-promoting complex subunit 12	0
K02180	BUB3; cell cycle arrest protein BUB3	0
K02181	BFA1; cell cycle arrest protein BFA1	0
K02365	ESP1; separase [EC:3.4.22.49]	0
K03354	APC7; anaphase-promoting complex subunit 7	0
K02209	MCM5, CDC46; minichromosome maintenance protein 5 (cell division control protein 46)	0
K12760	CLN1; G1/S-specific cyclin CLN1	0
K06649	SWI4; regulatory protein SWI4	0
K06648	SWI6; regulatory protein SWI6	0
K04382	PPP2C; protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16]	0
K06647	MBP1; transcription factor MBP1	0
K06646	CLN3; G1/S-specific cyclin CLN3	0
K12578	LCD1, ddc2; DNA damage checkpoint protein LCD1	0
K03347	CUL1, CDC53; cullin 1	0
K03349	APC2; anaphase-promoting complex subunit 2	0
K12575	SLK19; kinetochore protein SLK19	0
K12576	SPO12; sporulation-specific protein 12	0
K12577	FOB1; DNA replication fork-blocking protein FOB1	0
K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28	0
K02179	BUB2; cell cycle arrest protein BUB2	0
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	0
K02608	ORC6; origin recognition complex subunit 6	0
K06639	CDC14; cell division cycle 14 [EC:3.1.3.48]	0
K02603	ORC1; origin recognition complex subunit 1	0
K02607	ORC5; origin recognition complex subunit 5	0
K02606	ORC4; origin recognition complex subunit 4	0
K02605	ORC3; origin recognition complex subunit 3	0
K02604	ORC2; origin recognition complex subunit 2	0
K10259	MET30; F-box and WD-40 domain protein MET30	0
K08866	TTK, MPS1; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]	0
K03094	SKP1, CBF3D; S-phase kinase-associated protein 1	0
K02307	DAM1; DASH complex subunit DAM1	0
K02309	DBF4; regulatory subunit for Cdc7p protein kinase	0
K06675	SMC4; structural maintenance of chromosome 4	0
K02544	MEC3; G2-specific checkpoint protein	0
K02540	MCM2; minichromosome maintenance protein 2	0
K06628	CDC45; cell division control protein 45	0
K02542	MCM6; minichromosome maintenance protein 6	0
K02543	MEC1; cell cycle checkpoint protein MEC1	0
K03363	CDC20; cell division cycle 20, cofactor of APC complex	0
K03361	CDC4; F-box and WD-40 domain protein CDC4	0
K03360	GRR1; F-box and leucine-rich repeat protein GRR1	0
K03364	CDH1; cell division cycle 20-like protein 1, cofactor of APC complex	0
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0
K06618	RB1; retinoblastoma-associated protein	0
K06619	ABL1; proto-oncogene tyrosine-protein kinase ABL1 [EC:2.7.10.2]	0
K04377	MYC; Myc proto-oncogene protein	0
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	0
K04503	CCND1; cyclin D1	0
K04500	SMAD2_3; SMAD, mothers against DPP 2/3	0
K04501	SMAD4; SMAD, mothers against DPP 4	0
